"SampleID","Year","Region","Site","Tissue","Replicate","meanCq","meanSQ","countRep","leaf_mass","cells_per_uL","dilute_cells_in_extraction","total_cells_in_extraction","cells_per_g","cells_per_mg","Result"
"2020_WA_A_L_6",2020,"WA","A","L","6",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_A_L_1",2021,"AK","A","L","1",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_A_L_11",2021,"AK","A","L","11",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_A_L_13",2021,"AK","A","L","13",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_A_L_8",2021,"AK","A","L","8",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_D_G_11",2021,"AK","D","G","11",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_D_G_2",2021,"AK","D","G","2",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_D_G_3",2021,"AK","D","G","3",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_D_G_7",2021,"AK","D","G","7",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_D_G_9",2021,"AK","D","G","9",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_D_L_11",2021,"AK","D","L","11",34.9171748094287,0.154894412508152,1,0.0053,0.0774472062540758,7.74472062540758,77.4472062540758,14612.6804252973,14.6126804252973,"Positive"
"2021_AK_D_L_2",2021,"AK","D","L","2",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_D_L_3",2021,"AK","D","L","3",31.0935384261116,2.44010186460405,1,0.0174,1.22005093230202,122.005093230203,1220.05093230203,70117.8696725302,70.1178696725302,"Positive"
"2021_AK_D_L_7",2021,"AK","D","L","7",31.547445199135,1.75743427017534,1,0.0167,0.87871713508767,87.871713508767,878.71713508767,52617.7925202198,52.6177925202198,"Positive"
"2021_AK_D_L_9",2021,"AK","D","L","9",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_E_L_1",2021,"AK","E","L","1",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_E_L_2",2021,"AK","E","L","2",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_E_L_3",2021,"AK","E","L","3",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_E_L_4",2021,"AK","E","L","4",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_E_L_5",2021,"AK","E","L","5",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_F_G_1",2021,"AK","F","G","1",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_F_G_2",2021,"AK","F","G","2",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_F_G_3",2021,"AK","F","G","3",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_AK_F_L_1",2021,"AK","F","L","1",31.407626714773,1.15905500356582,1,0.017,0.579527501782912,57.9527501782912,579.527501782913,34089.8530460537,34.0898530460537,"Positive"
"2021_AK_F_L_2",2021,"AK","F","L","2",31.2768509818911,1.26988204897843,1,0.0284,0.634941024489215,63.4941024489215,634.941024489215,22357.078327085,22.357078327085,"Positive"
"2021_AK_F_L_3",2021,"AK","F","L","3",34.2279388055288,0.157762632835752,1,0.0174,0.0788813164178762,7.88813164178762,78.8813164178762,4533.40898953312,4.53340898953312,"Positive"
"2021_BB_A_L_16",2021,"BB","A","L","16",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BB_A_L_17",2021,"BB","A","L","17",0,0,1,NA,0,0,0,NA,0,"Negative"
